date,VCB,BID,CTG,MBB,TCB,ACB,VPB,HDB,VIB,TPB,STB,SHB,LPB,SSB,MSB,OCB,NAB,BAB,KLB,PGB,VAB,VBB,SGB,ABB,BVB
2014-06-30,64.33869827,45.709065969,31.414451444999997,13.669090848000002,,12.07114301,,,,,32.369153569000005,9.59516292,,,,,,,,,,,,,
2014-07-31,62.834676752,45.709065969,31.844050781,13.486022667,,12.07114301,,,,,30.955241794000003,9.39187557,,,,,,,,,,,,,
2014-08-31,68.767206073,47.394192825,32.058850449,13.852159029,,12.173876142,,,,,30.483937869000005,10.1643675,,,,,,,,,,,,,
2014-09-30,64.088028017,43.883511875,31.199651776999996,13.913181755999998,,11.917043312,,,,,30.012633944,9.83910774,,,,,,,,,,,,,
2014-10-31,68.01519531400001,42.970734828,31.844050781,14.279318118,,12.019776444,,,,,30.012633944,9.31056063,,,,,,,,,,,,,
2014-11-30,68.01519531400001,40.372830925,30.340453105000005,13.791136301999998,,11.917043312,,,,,29.22084335,9.31056063,,,,,,,,,,,,,
2014-12-31,78.376232438,40.372830925,29.910853769,14.096249937,,12.07114301,,,,,28.2782355,8.66004111,,,,,,,,,,,,,
2015-01-31,87.651031799,55.679399867,38.986139742,15.25568175,,13.509406858,,,,,29.842964531,9.63582039,,,,,,,,,,,,,
2015-02-28,94.335571879,59.190080817,41.993335094,15.133636296,,13.35530716,,,,,30.483937869000005,9.63582039,,,,,,,,,,,,,
2015-03-31,86.230567032,56.030467962,37.482542066,14.706477207,,13.09847433,,,,,29.371660606,9.18858822,,,,,,,,,,,,,
2015-04-30,88.904383064,59.822003388,38.986139742,14.828522661000003,,13.201207462,,,,,28.127418244,8.98530087,,,,,,,,,,,,,
2015-05-31,106.367744023,68.036996811,42.208134762,14.828522661000003,,15.820902328,,,,,28.429052756,8.5380687,,,,,,,,,,,,,
2015-06-30,122.494196966,74.42643614,43.65803252100001,16.232045382,,16.796867082,,,,,29.22084335,8.78201352,,,,,,,,,,,,,
2015-07-31,125.251569749,85.871256037,51.122320984,16.964318105999997,,17.72146527,,,,,29.842964531,8.98530087,,,,,,,,,,,,,
2015-08-31,106.618414276,81.798866135,43.872832189,15.743863566,,14.999037272,,,,,26.072533131,7.76557677,,,,,,,,,,,,,
2015-09-30,107.621095288,83.55420661,44.57093111000001,17.147386287,,15.92363546,,,,,25.770898619,7.64360436,,,,,,,,,,,,,
2015-10-31,119.653267432,84.95847899,47.25592696000001,16.476136290000003,,17.053699912,,,,,25.63893352,7.76557677,,,,,,,,,,,,,
2015-11-30,107.621095288,71.898745856,41.832235343,16.109999928,,15.92363546,,,,,20.7373727,7.64360436,,,,,,,,,,,,,
2015-12-31,110.127797818,72.600882046,42.261834679,16.720227198000003,,16.231834856,,,,,24.69632567,7.44031701,,,,,,,,,,,,,
2016-01-31,103.861041493,59.260294436,39.093539576,16.476136290000003,,15.564069497999999,,,,,21.30293741,7.44031701,,,,,,,,,,,,,
2016-02-29,102.858360481,62.41990729100001,40.436037501,16.720227198000003,,16.129101724,,,,,20.7373727,7.64360436,,,,,,,,,,,,,
2016-03-31,102.858360481,58.90922634100001,37.267742398,16.354090836,,14.999037272,,,,,19.41772171,7.44031701,,,,,,,,,,,,,
2016-04-30,115.391873131,61.71777110099999,37.751041651,17.269431741,,14.690837876,,,,,19.41772171,7.44031701,,,,,,,,,,,,,
2016-05-31,117.146564902,64.17524776600001,40.436037501,17.879659011,,15.101770404,,,,,20.7373727,7.19637219,,,,,,,,,,,,,
2016-06-30,118.65058642,61.71777110099999,38.180640987,17.025340833,,15.564069497999999,,,,,21.30293741,6.99308484,,,,,,,,,,,,,
2016-07-31,135.52905012199997,62.068839196,40.436037501,17.147386287,,14.844937574,,,,,21.30293741,6.87111243,,,,,,,,,,,,,
2016-08-31,135.52905012199997,57.856022056,39.576838829,16.964318105999997,,14.742204442,,,,,19.60624328,6.05796303,,,,,,,,,,,,,
2016-09-30,132.353893584,59.96243062599999,38.556540406,17.025340833,,14.999037272,,,,,17.570210324,5.24481363,,,,,,,,,,,,,
2016-10-31,124.416002239,58.90922634100001,38.288040821,17.208409014,,15.564069497999999,,,,,16.627602474,6.17993544,,,,,,,,,,,,,
2016-11-30,121.658629456,56.802817771,36.623343394,16.048977201,,15.66680263,,,,,14.13911775,5.93599062,,,,,,,,,,,,,
2016-12-31,122.494196966,52.730427869,34.206847129,16.842272652,,15.872268894,,,,,17.815288365,5.65138833,,,,,,,,,,,,,
2017-01-31,135.779720375,62.770975386,43.926532106,17.025340833,,21.265758324,,,6.226377102,,19.22920014,5.89533315,,,,,,,,,,,,,
2017-02-28,129.262293797,61.08584852999999,43.22843318500001,17.513522649,,20.649359531999995,,,6.285959658,,19.41772171,6.5051952,,,,,,,,,,,,,
2017-03-31,127.507602026,65.15823843199999,42.906233683,19.222159005,,22.08762338,,,6.643454994,,21.585719765,6.99308484,,,,,,,,,,,,,
2017-04-30,121.324402452,61.64755748199999,41.080436505,19.771363548,,20.906192362,,,7.477610777999999,,21.774241335,9.22924569,,,,,,,,,,,,,
2017-05-31,125.084456247,68.528492144,44.51723119299999,23.615795349,,22.549922474,,,8.311766562,,23.56519625,8.86332846,,,,,,,,,,,,,
2017-06-30,133.022347592,75.760494901,47.954025881,27.948408966,,23.37178753,,,8.49051423,,26.01597666,9.3512181,,,,,,,2.169774486,,,,,,
2017-07-31,130.432088311,82.430788706,48.3299253,29.840113502999998,,23.423154095999998,,,8.579888064,,24.69632567,10.20502497,,,,,,,1.906771518,,,,,,
2017-08-31,128.176056034,79.34138947,45.10793028,29.779090776,,25.888749264,57.044910684,,7.954271226,,22.05702369,9.71713533,,,,,,,1.815451043,,,,,,
2017-09-30,132.771677339,75.12857233,45.483829699,28.619658963000003,,27.583845942,58.949052348,,8.133018894,,23.56519625,9.83910774,,,,,,,1.6656854639999998,,,,,,
2017-10-31,146.140757499,83.694633848,46.074528786,29.718068049,,27.583845942,63.94742421600001,,8.281975284,,20.7373727,9.59516292,11.082816591,,,,,,1.778922853,,,,,,
2017-11-30,171.207782799,98.2990666,59.71430770399999,33.684545304,,31.436338392,64.66147734,,8.430931674,,24.69632567,11.54672148,12.217983789,,,,,,1.6656854639999998,,,,,,
2017-12-31,191.679186794,97.737357648,59.499508036,33.44045439600001,,33.285534768000005,64.42345963199999,,8.669261898,,24.225021745,11.42474907,11.769891474,,,,,12.962034954,1.965216622,,,,,,
