Date,RF_monthly,MKT,TAN,BL,BL_KIO,EW
2017-08-31,0.004833333333333333,-0.02659180874765718,0.021802845661749965,-0.03993204181728901,-0.050765065644986104,-0.024700400359499212
2017-09-30,0.004833333333333333,0.008599805907113504,0.01761384161644304,0.004048225488289497,0.007288448507262717,0.0140800140872162
2017-10-31,0.004833333333333333,0.05992118818052248,0.050254554762802515,0.06017314077078372,-0.020522288095033234,0.01732630090649393
2017-11-30,0.004833333333333333,0.18440862734914198,0.1527303272872224,0.21010299504019952,0.1757804086166067,0.18707063981615046
2017-12-31,0.004833333333333333,0.04808973902610535,0.05063167578487399,0.03446429705599389,-0.011363945389318652,0.01888413100604886
2018-01-31,0.0038166666666666666,0.24375227380062725,0.23053460452067737,0.23073017534549917,0.2679756373336441,0.2670984122910613
2018-02-28,0.0038166666666666666,0.12033682482596302,0.099277003810371,0.146808891612238,0.13448747197216995,0.0984733058485817
2018-03-31,0.0038166666666666666,0.016709568539018,0.017842266840320458,0.025481799811421305,0.04164406155952893,0.020542663916024467
2018-04-30,0.0038166666666666666,-0.14673280822539145,-0.12626360214106608,-0.15163458678648445,-0.13805867721065507,-0.1318490084086445
2018-05-31,0.0038166666666666666,-0.11488584649689958,-0.0732548722315243,-0.12468548655742107,-0.11464032052453073,-0.11176380844442421
2018-06-30,0.0038166666666666666,-0.032585556385539415,-0.05306943248787591,-0.044853154606864704,-0.06371386935447061,-0.06996238327685338
2018-07-31,0.0038166666666666666,0.007451844451216417,0.02262156652807183,-0.0030208656891643503,-0.005468135835358529,0.006365792622867818
2018-08-31,0.0038166666666666666,0.12303740083138527,0.06096637309140153,0.15731830525489593,0.17230434619730636,0.09576815458396837
2018-09-30,0.0038166666666666666,0.018549210293794187,0.002697070252325296,0.03270501823676429,0.012966682243979384,0.040664211721111516
2018-10-31,0.0038166666666666666,-0.1217961764957484,-0.09598235731299623,-0.1329586978757412,-0.1264616210494036,-0.11574111190786832
