Date,Ticker,w_mkt,w_TAN,w_MV,w_BL
2017-08-31,VCB,0.3733485554805682,0.2999999999999987,0.22837444362583456,0.29999999999999993
2017-08-31,BID,0.23594972900478808,0.061057043999583914,0.0,0.29999999999999993
2017-08-31,CTG,0.1383394840249371,1.1315845167002235e-14,2.6285446291345674e-18,0.11088916275652888
2017-08-31,MBB,0.08541428275806952,0.2999999999999959,0.3,2.4468470187681513e-16
2017-08-31,ACB,0.0670463906526508,0.29999999999999616,0.18059166001023702,0.289110837243471
2017-08-31,STB,0.07069071448574345,3.0138774687696555e-15,1.596423135070627e-17,0.0
2017-08-31,SHB,0.029210843593242615,0.03894295600041087,0.29103389636392846,0.0
2017-09-30,VCB,0.3769137103869447,0.30000000000006993,0.23705821452716708,0.2999999999999997
2017-09-30,BID,0.23331079468119068,0.022948646629209604,2.172606305932443e-18,0.2999999999999997
2017-09-30,CTG,0.132644098248744,0.0,0.0,0.1282005861712275
2017-09-30,MBB,0.0875682084753371,0.30000000000006993,0.3,2.3485637477570894e-16
2017-09-30,ACB,0.0761282945059814,0.30000000000006993,0.17624162799714796,0.2717994138287727
2017-09-30,STB,0.06486074619806818,0.0,0.005905815697963898,1.554672502528422e-16
2017-09-30,SHB,0.02857414750373383,0.07705135337058049,0.28079434177772117,0.0
2017-10-31,VCB,0.38709859294746085,0.2999999999999723,0.246124816096048,0.30000000000000004
2017-10-31,BID,0.21903891870583472,0.06190906671055674,1.8995871726372065e-17,0.30000000000000004
2017-10-31,CTG,0.13260905361156478,5.938166916246129e-15,0.0,0.09999999999999999
2017-10-31,MBB,0.08344121229203813,0.29999999999998306,0.3,0.0
2017-10-31,ACB,0.08042127783747821,0.2999999999999956,0.16870828486785042,0.29999999999999993
2017-10-31,STB,0.06870482089048892,1.4741557366946043e-14,0.0,1.1026497814599193e-16
2017-10-31,SHB,0.02868612371513448,0.038090933289471635,0.28516689903610154,0.0
2017-11-30,VCB,0.40198877953166795,0.2999999999999999,0.2580885617733939,0.29999999999999993
2017-11-30,BID,0.23021848449182675,0.022611717564601834,3.620620038162882e-18,0.2999999999999999
2017-11-30,CTG,0.12673701649799907,2.7314067515820015e-16,0.0,0.10000000000000014
2017-11-30,MBB,0.08174536733969175,0.2999999999999999,0.3,1.184356058398731e-16
2017-11-30,ACB,0.07587477138326731,0.29999999999999927,0.16029338287264144,0.29999999999999993
2017-11-30,STB,0.05704220564494729,4.1537132614281514e-16,0.0,0.0
2017-11-30,SHB,0.026393375110599852,0.07738828243539844,0.28161805535396467,0.0
2017-12-31,VCB,0.39761660956377215,0.3000000000003632,0.24804464741905913,0.29999999999999993
2017-12-31,BID,0.22829185067282892,0.05660278138337853,0.0,0.29999999999999993
2017-12-31,CTG,0.13868178293966552,0.0,0.0,0.10000000000000026
2017-12-31,MBB,0.07822970708170394,0.3000000000004244,0.3,1.5921307289835315e-16
2017-12-31,ACB,0.07300842335655487,0.3000000000004244,0.16785554112518908,0.29999999999999977
2017-12-31,STB,0.057355273931189,0.0,5.36117207375173e-18,5.290192726848071e-17
2017-12-31,SHB,0.026816352454285725,0.04339721861540937,0.2840998114557519,0.0
2018-01-31,VCB,0.42473446560093214,0.3000000000000004,0.23482054503334013,0.3000000000000001
2018-01-31,BID,0.2165724148990906,0.060845728069125485,3.4950558240777625e-17,0.3000000000000001
2018-01-31,CTG,0.1318426490214006,0.0,4.757219618781395e-17,0.10000000000000075
2018-01-31,MBB,0.07409940413928134,0.3000000000000004,0.29999999999999993,0.0
2018-01-31,ACB,0.07375612375234819,0.3000000000000004,0.20813365205637463,0.29999999999999905
2018-01-31,STB,0.053679284835924664,0.0,0.0,4.148212797030882e-17
2018-01-31,SHB,0.0253156577510224,0.03915427193087343,0.2570458029102851,0.0
2018-02-28,VCB,0.4189037957555885,0.3000000000001086,0.23227417026451702,0.30000000000000004
2018-02-28,BID,0.23342192998951045,0.03728570339459805,1.8004360290194792e-17,0.30000000000000004
2018-02-28,CTG,0.11911093224026556,0.0,2.773882006131486e-17,0.10193704819830329
2018-02-28,MBB,0.07642854546701432,0.3000000000001206,0.29999999999999993,0.0
2018-02-28,ACB,0.06698850286535266,0.3000000000001206,0.20914207469854196,0.29806295180169634
2018-02-28,STB,0.05457868541995859,0.0,0.0,0.0
2018-02-28,SHB,0.030567608262309958,0.06271429660505198,0.2585837550369411,2.658279272028854e-16
2018-03-31,VCB,0.414302641365845,0.30000000000000027,0.2667193020621567,0.2999999999999999
2018-03-31,BID,0.23760360662470395,0.02373789532618467,1.6332472515259673e-17,0.29999999999999993
2018-03-31,CTG,0.13133787840811256,0.0,8.882677793032744e-18,0.20203121049687503
2018-03-31,MBB,0.07355646741773565,0.30000000000000027,0.30000000000000004,5.858536368209846e-17
2018-03-31,ACB,0.06738985595471712,0.30000000000000027,0.30000000000000004,0.197968789503125
2018-03-31,STB,0.04826662925975711,0.0,0.0,0.0
2018-03-31,SHB,0.02754292096912852,0.0762621046738145,0.13328069793784325,0.0
2018-04-30,VCB,0.38932759199594164,0.3000000000003442,0.2541395577296653,0.3
2018-04-30,BID,0.26005558917678745,0.021121017884383943,0.0,0.2999999999999998
2018-04-30,CTG,0.13295897704743184,0.0,0.0,0.2640148662111633
2018-04-30,MBB,0.07292024278985179,0.30000000000041327,0.3,0.0
2018-04-30,ACB,0.07238831368106192,0.30000000000041327,0.3,0.13598513378883692
2018-04-30,STB,0.04570417583125656,0.0,0.0,0.0
2018-04-30,SHB,0.026645109477668866,0.07887898211444526,0.14586044227033468,0.0
2018-05-31,VCB,0.3882733625317952,0.30000000000000027,0.2616622842537935,0.3
2018-05-31,BID,0.2535512015751838,0.05883326192434513,0.0,0.2999999999999998
2018-05-31,CTG,0.1320019907103175,0.0,0.0,0.2239507795854749
