Date,Ticker,w_mkt,w_TAN,w_BL,w_BL_KIO,w_EW
2017-08-31,VCB,0.3733485554805682,0.2999999999999969,0.3,0.0,0.14285714285714285
2017-08-31,BID,0.23594972900478808,0.0781460290327489,0.30000000000000004,0.0999999999999978,0.14285714285714285
2017-08-31,CTG,0.1383394840249371,1.9662495342457405e-15,0.30000000000000004,0.0,0.14285714285714285
2017-08-31,MBB,0.08541428275806952,0.2999999999999986,1.3156456081404391e-16,0.30000000000000066,0.14285714285714285
2017-08-31,ACB,0.0670463906526508,0.29999999999999893,0.03388233316274066,1.8870551254497373e-16,0.14285714285714285
2017-08-31,STB,0.07069071448574345,2.002064628354494e-15,0.06611766683725911,0.30000000000000066,0.14285714285714285
2017-08-31,SHB,0.029210843593242615,0.02185397096725282,0.0,0.30000000000000066,0.14285714285714285
2017-09-30,VCB,0.3769137103869447,0.3000000000000001,0.2999999999999998,0.0,0.14285714285714285
2017-09-30,BID,0.23331079468119068,0.03595009070909197,0.3,0.10000000000000048,0.14285714285714285
2017-09-30,CTG,0.132644098248744,0.0,0.29999999999999993,0.0,0.14285714285714285
2017-09-30,MBB,0.0875682084753371,0.3000000000000001,3.6898192729817675e-17,0.29999999999999977,0.14285714285714285
2017-09-30,ACB,0.0761282945059814,0.2999999999999989,0.04012954099965184,1.1102230246251558e-16,0.14285714285714285
2017-09-30,STB,0.06486074619806818,0.0,0.05987045900034833,0.29999999999999977,0.14285714285714285
2017-09-30,SHB,0.02857414750373383,0.06404990929090898,0.0,0.29999999999999977,0.14285714285714285
2017-10-31,VCB,0.38709859294746085,0.29999999999999943,0.3,0.0,0.14285714285714285
2017-10-31,BID,0.21903891870583472,0.07933284008483765,0.30000000000000004,0.09999999999973658,0.14285714285714285
2017-10-31,CTG,0.13260905361156478,0.0,0.30000000000000004,0.0,0.14285714285714285
2017-10-31,MBB,0.08344121229203813,0.30000000000000004,2.938393454193527e-17,0.3000000000000878,0.14285714285714285
2017-10-31,ACB,0.08042127783747821,0.30000000000000004,0.032197930110617494,0.0,0.14285714285714285
2017-10-31,STB,0.06870482089048892,0.0,0.06780206988938257,0.3000000000000878,0.14285714285714285
2017-10-31,SHB,0.02868612371513448,0.020667159915162683,0.0,0.3000000000000878,0.14285714285714285
2017-11-30,VCB,0.40198877953166795,0.30000000000032895,0.30000000000000004,0.0,0.14285714285714285
2017-11-30,BID,0.23021848449182675,0.0348573828099588,0.30000000000000004,0.09999999999999894,0.14285714285714285
2017-11-30,CTG,0.12673701649799907,0.0,0.30000000000000004,0.0,0.14285714285714285
2017-11-30,MBB,0.08174536733969175,0.3000000000003709,0.0,0.30000000000000104,0.14285714285714285
2017-11-30,ACB,0.07587477138326731,0.3000000000003709,0.03134148699002913,0.0,0.14285714285714285
2017-11-30,STB,0.05704220564494729,0.0,0.06865851300997085,0.2999999999999988,0.14285714285714285
2017-11-30,SHB,0.026393375110599852,0.06514261718897052,3.074606523568875e-17,0.30000000000000104,0.14285714285714285
2017-12-31,VCB,0.39761660956377215,0.30000000000000043,0.3,2.118386284797641e-15,0.14285714285714285
2017-12-31,BID,0.22829185067282892,0.07088155663448416,0.29999999999999977,0.12061388697853012,0.14285714285714285
2017-12-31,CTG,0.13868178293966552,0.0,0.3,0.0,0.14285714285714285
2017-12-31,MBB,0.07822970708170394,0.30000000000000043,6.288118652592584e-17,0.2999999999999976,0.14285714285714285
2017-12-31,ACB,0.07300842335655487,0.30000000000000043,0.042293229704245386,3.3506570910726146e-15,0.14285714285714285
2017-12-31,STB,0.057355273931189,0.0,0.05770677029575477,0.2793861130214682,0.14285714285714285
2017-12-31,SHB,0.026816352454285725,0.02911844336551452,0.0,0.29999999999999855,0.14285714285714285
2018-01-31,VCB,0.42473446560093214,0.3000000000001419,0.3,0.3000000000000474,0.14285714285714285
2018-01-31,BID,0.2165724148990906,0.07062862875446356,0.3,0.3000000000000474,0.14285714285714285
2018-01-31,CTG,0.1318426490214006,0.0,0.3,0.0,0.14285714285714285
2018-01-31,MBB,0.07409940413928134,0.30000000000016197,0.0,0.3000000000000474,0.14285714285714285
2018-01-31,ACB,0.07375612375234819,0.30000000000016197,0.02209136947756404,0.09999999999985777,0.14285714285714285
2018-01-31,STB,0.053679284835924664,0.0,0.07790863052243603,0.0,0.14285714285714285
2018-01-31,SHB,0.0253156577510224,0.029371371245070565,0.0,0.0,0.14285714285714285
2018-02-28,VCB,0.4189037957555885,0.30000000000017407,0.3,0.19827257465124246,0.14285714285714285
2018-02-28,BID,0.23342192998951045,0.03310324086889134,0.2999999999999998,0.2999999999999996,0.14285714285714285
2018-02-28,CTG,0.11911093224026556,0.0,0.3,0.20172742534875807,0.14285714285714285
2018-02-28,MBB,0.07642854546701432,0.30000000000021926,0.0,0.2999999999999999,0.14285714285714285
2018-02-28,ACB,0.06698850286535266,0.30000000000021926,0.019063631494469893,0.0,0.14285714285714285
2018-02-28,STB,0.05457868541995859,0.0,0.08093636850553028,0.0,0.14285714285714285
2018-02-28,SHB,0.030567608262309958,0.06689675913049603,0.0,0.0,0.14285714285714285
2018-03-31,VCB,0.414302641365845,0.2999999999999996,0.3,0.29999999999999993,0.14285714285714285
2018-03-31,BID,0.23760360662470395,0.022043941237324036,0.3,0.18771010694857185,0.14285714285714285
2018-03-31,CTG,0.13133787840811256,0.0,0.29955274226064715,0.21228989305142829,0.14285714285714285
