Parameter,Value,Is_Baseline,Portfolio,Ann_Return,Ann_Vol,Sharpe,Sortino,MDD,Calmar,Win_Rate
lookback,24,False,MKT,0.23512125205601953,0.26501887910671046,0.7392760099734561,1.2286308120893286,-0.3264545487285153,0.7202266072621032,0.5932203389830508
lookback,24,False,TAN,0.23210754368470732,0.27417633022930843,0.7035924325815972,1.269488957568523,-0.5178670307183754,0.44819911273890545,0.5932203389830508
lookback,24,False,MV,0.20815175345178005,0.2401413191172462,0.7035548964687665,1.2975933322444695,-0.3342753618902067,0.622695469611511,0.5677966101694916
lookback,24,False,BL,0.23919435125754496,0.2907582102816776,0.687840245410174,1.1122447441547716,-0.3348506384096693,0.7143314774419074,0.6271186440677966
lookback,24,False,BL_KIO,0.23785362679161182,0.2826112074632211,0.7029249690145135,1.2522648882578693,-0.3740481729163922,0.6358903585522317,0.5932203389830508
lookback,24,False,EW,0.27087599501984894,0.26377799066020796,0.878302400809157,1.5424038547750285,-0.3799342035893949,0.7129550128963695,0.652542372881356
lookback,24,False,RP,0.2626751616392471,0.2541434537607056,0.8793301806124545,1.5569346490551141,-0.3661404285614857,0.7174164368334327,0.635593220338983
lookback,36,True,MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
lookback,36,True,TAN,0.19198996589055528,0.2781007184932304,0.5577399844892268,0.8726621742875115,-0.515447692628095,0.37247225787676497,0.6226415094339622
lookback,36,True,MV,0.1624082286037618,0.2539933888926357,0.4942103165729414,0.8013081748613347,-0.38444487380269055,0.4224486777449266,0.5754716981132075
lookback,36,True,BL,0.2722815155047065,0.29548000456128776,0.7966679179612046,1.3132346277075597,-0.36732294826377837,0.7412592019956736,0.6132075471698113
lookback,36,True,BL_KIO,0.3011883613124198,0.2812834671253247,0.9396438707965763,1.6281447307321586,-0.30659365956647877,0.9823698302773056,0.6132075471698113
lookback,36,True,EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
