Portfolio,Ann_Return,Ann_Vol,Sharpe,Sortino,MDD
MKT,0.2340326241166235,0.27049253980319304,0.6803611820515395,0.7125997185337394,-0.3250979637534103
TAN,0.19294925804628327,0.2779500310877039,0.5142984063965703,0.513134874818846,-0.5149231920179461
MV,0.1624080470991951,0.2539934590700076,0.4425627632726256,0.47754444371409127,-0.38444487138481076
BL,0.2552806314936935,0.29640500328561054,0.6925680377125375,0.6536736384832231,-0.504946026878176
