Portfolio,Ann_Return,Ann_Vol,Sharpe,Sortino,MDD,Calmar,Win_Rate
MKT,0.2340326241166235,0.27049253980319304,0.7288576194684321,1.1841601320304886,-0.3250979637534103,0.7198833896546314,0.6132075471698113
TAN,0.19198999779607218,0.2781007499805518,0.5577400360668611,0.8726623208491066,-0.5154476950679335,0.3724723180123423,0.6226415094339622
MV,0.1624080470991951,0.2539934590700076,0.49420946542130667,0.8013070028188153,-0.38444487138481076,0.42244820828064183,0.5754716981132075
BL,0.25287597623822733,0.2976923756781429,0.7255607412668711,1.1500597918024809,-0.5113091680418052,0.4945656992748308,0.6226415094339622
EW,0.26615682077001446,0.27382060545998754,0.8373173556941078,1.4530083749902805,-0.3654729095456211,0.7282532133528511,0.6226415094339622
RP,0.2566576158488354,0.2714360253653761,0.8096771240342936,1.3899960239597804,-0.35715679297926856,0.7186132838406725,0.6226415094339622
