Date,Delta_Noise,Port_Type,Expected_Sharpe
2017-08-31,-0.1,BL,0.547491238018353
2017-08-31,-0.1,TAN,0.8937445886181645
2017-08-31,-0.05,BL,0.5489674827792258
2017-08-31,-0.05,TAN,0.8937445886181645
2017-08-31,0.0,BL,0.548811641227022
2017-08-31,0.0,TAN,0.8937445886181645
2017-08-31,0.05,BL,0.5486137056049563
2017-08-31,0.05,TAN,0.8937445886181645
2017-08-31,0.1,BL,0.5484998078151844
2017-08-31,0.1,TAN,0.8937445886181645
2017-09-30,-0.1,BL,0.592290744438226
2017-09-30,-0.1,TAN,0.9614618934025804
2017-09-30,-0.05,BL,0.5937083971832824
2017-09-30,-0.05,TAN,0.9614618934025804
2017-09-30,0.0,BL,0.5935587409676389
2017-09-30,0.0,TAN,0.9614618934025804
2017-09-30,0.05,BL,0.5933686613918105
2017-09-30,0.05,TAN,0.9614618934025804
2017-09-30,0.1,BL,0.5932592841946103
2017-09-30,0.1,TAN,0.9614618934025804
2017-10-31,-0.1,BL,0.5065130840834655
2017-10-31,-0.1,TAN,0.9212234176424268
2017-10-31,-0.05,BL,0.5080264192403577
2017-10-31,-0.05,TAN,0.9212234176424268
2017-10-31,0.0,BL,0.5078666621959261
2017-10-31,0.0,TAN,0.9212234176424268
2017-10-31,0.05,BL,0.5076637534753585
2017-10-31,0.05,TAN,0.9212234176424268
2017-10-31,0.1,BL,0.5075469940231846
2017-10-31,0.1,TAN,0.9212234176424268
2017-11-30,-0.1,BL,0.5937455763562414
2017-11-30,-0.1,TAN,1.0196387557560358
2017-11-30,-0.05,BL,0.5951895367631335
2017-11-30,-0.05,TAN,1.0196387557560358
2017-11-30,0.0,BL,0.5950371033475542
2017-11-30,0.0,TAN,1.0196387557560358
2017-11-30,0.05,BL,0.5948434964275151
2017-11-30,0.05,TAN,1.0196387557560358
2017-11-30,0.1,BL,0.5947320894960753
2017-11-30,0.1,TAN,1.0196387557560358
2017-12-31,-0.1,BL,0.6485391128144792
2017-12-31,-0.1,TAN,1.0512180741266148
2017-12-31,-0.05,BL,0.6501071774345757
2017-12-31,-0.05,TAN,1.0512180741266148
2017-12-31,0.0,BL,0.6499416428085918
2017-12-31,0.0,TAN,1.0512180741266148
2017-12-31,0.05,BL,0.649731395934737
2017-12-31,0.05,TAN,1.0512180741266148
2017-12-31,0.1,BL,0.6496104139003333
2017-12-31,0.1,TAN,1.0512180741266148
2018-01-31,-0.1,BL,0.8249042209357696
2018-01-31,-0.1,TAN,1.258109588951075
2018-01-31,-0.05,BL,0.8260413626365603
2018-01-31,-0.05,TAN,1.258109588951075
2018-01-31,0.0,BL,0.8259213189063986
2018-01-31,0.0,TAN,1.258109588951075
2018-01-31,0.05,BL,0.8257688503890576
2018-01-31,0.05,TAN,1.258109588951075
2018-01-31,0.1,BL,0.8256811156652432
2018-01-31,0.1,TAN,1.258109588951075
2018-02-28,-0.1,BL,0.8113294439640198
2018-02-28,-0.1,TAN,1.2563465537050433
2018-02-28,-0.05,BL,0.812437310960355
2018-02-28,-0.05,TAN,1.2563465537050433
2018-02-28,0.0,BL,0.8123203576495488
2018-02-28,0.0,TAN,1.2563465537050433
2018-02-28,0.05,BL,0.812171814298949
2018-02-28,0.05,TAN,1.2563465537050433
2018-02-28,0.1,BL,0.8120863382277796
2018-02-28,0.1,TAN,1.2563465537050433
2018-03-31,-0.1,BL,0.6601755970337516
2018-03-31,-0.1,TAN,1.281139496402858
2018-03-31,-0.05,BL,0.6600029147239868
2018-03-31,-0.05,TAN,1.281139496402858
2018-03-31,0.0,BL,0.6600211441395316
2018-03-31,0.0,TAN,1.281139496402858
2018-03-31,0.05,BL,0.6600442974683759
2018-03-31,0.05,TAN,1.281139496402858
2018-03-31,0.1,BL,0.6600576205526884
2018-03-31,0.1,TAN,1.281139496402858
2018-04-30,-0.1,BL,0.7533463798348664
2018-04-30,-0.1,TAN,1.3772251806689435
2018-04-30,-0.05,BL,0.7533252441709374
2018-04-30,-0.05,TAN,1.3772251806689435
2018-04-30,0.0,BL,0.7533274753826991
2018-04-30,0.0,TAN,1.3772251806689435
2018-04-30,0.05,BL,0.7533303092628918
2018-04-30,0.05,TAN,1.3772251806689435
2018-04-30,0.1,BL,0.753331939958201
2018-04-30,0.1,TAN,1.3772251806689435
2018-05-31,-0.1,BL,0.8707603327265923
2018-05-31,-0.1,TAN,1.506457731034084
2018-05-31,-0.05,BL,0.8706761000547273
2018-05-31,-0.05,TAN,1.506457731034084
2018-05-31,0.0,BL,0.8706849921779563
2018-05-31,0.0,TAN,1.506457731034084
2018-05-31,0.05,BL,0.8706962861359405
2018-05-31,0.05,TAN,1.506457731034084
2018-05-31,0.1,BL,0.8707027850007673
2018-05-31,0.1,TAN,1.506457731034084
2018-06-30,-0.1,BL,0.6188761132265197
2018-06-30,-0.1,TAN,1.1598063108086774
2018-06-30,-0.05,BL,0.6189681942460308
2018-06-30,-0.05,TAN,1.1598063108086774
2018-06-30,0.0,BL,0.6189584736025511
2018-06-30,0.0,TAN,1.1598063108086774
2018-06-30,0.05,BL,0.6189461273342626
2018-06-30,0.05,TAN,1.1598063108086774
2018-06-30,0.1,BL,0.6189390229401401
2018-06-30,0.1,TAN,1.1598063108086774
2018-07-31,-0.1,BL,0.26794148002409596
2018-07-31,-0.1,TAN,0.8902948710810286
2018-07-31,-0.05,BL,0.2676866461883443
2018-07-31,-0.05,TAN,0.8902948710810286
2018-07-31,0.0,BL,0.2677135480284526
2018-07-31,0.0,TAN,0.8902948710810286
2018-07-31,0.05,BL,0.2677477162742202
2018-07-31,0.05,TAN,0.8902948710810286
2018-07-31,0.1,BL,0.26776737765519215
2018-07-31,0.1,TAN,0.8902948710810286
2018-08-31,-0.1,BL,0.1376495066593422
2018-08-31,-0.1,TAN,0.6794288946218017
2018-08-31,-0.05,BL,0.1375164056085235
2018-08-31,-0.05,TAN,0.6794288946218017
2018-08-31,0.0,BL,0.1375304565809024
2018-08-31,0.0,TAN,0.6794288946218017
2018-08-31,0.05,BL,0.13754830283512098
2018-08-31,0.05,TAN,0.6794288946218017
2018-08-31,0.1,BL,0.1375585720776656
2018-08-31,0.1,TAN,0.6794288946218017
2018-09-30,-0.1,BL,0.05523921797314586
2018-09-30,-0.1,TAN,0.6554630424860343
2018-09-30,-0.05,BL,0.0551219104182418
2018-09-30,-0.05,TAN,0.6554630424860343
2018-09-30,0.0,BL,0.055134294131245244
2018-09-30,0.0,TAN,0.6554630424860343
2018-09-30,0.05,BL,0.05515002278578029
2018-09-30,0.05,TAN,0.6554630424860343
2018-09-30,0.1,BL,0.055159073501204484
2018-09-30,0.1,TAN,0.6554630424860343
2018-10-31,-0.1,BL,0.33480430449484827
2018-10-31,-0.1,TAN,0.995812066375382
2018-10-31,-0.05,BL,0.33462438107281217
2018-10-31,-0.05,TAN,0.995812066375382
2018-10-31,0.0,BL,0.3346433749050757
2018-10-31,0.0,TAN,0.995812066375382
2018-10-31,0.05,BL,0.3346674991258071
2018-10-31,0.05,TAN,0.995812066375382
2018-10-31,0.1,BL,0.334681380888941
2018-10-31,0.1,TAN,0.995812066375382
2018-11-30,-0.1,BL,0.3508942065035415
2018-11-30,-0.1,TAN,0.9316426941906433
2018-11-30,-0.05,BL,0.3507694487429792
2018-11-30,-0.05,TAN,0.9316426941906433
2018-11-30,0.0,BL,0.3507826189458959
2018-11-30,0.0,TAN,0.9316426941906433
2018-11-30,0.05,BL,0.35079934652766215
2018-11-30,0.05,TAN,0.9316426941906433
2018-11-30,0.1,BL,0.35080897205424255
2018-11-30,0.1,TAN,0.9316426941906433
2018-12-31,-0.1,BL,-0.05541948007929251
2018-12-31,-0.1,TAN,0.6794408111495192
2018-12-31,-0.05,BL,-0.05643334168152172
2018-12-31,-0.05,TAN,0.6794408111495192
2018-12-31,0.0,BL,-0.05632631216311187
2018-12-31,0.0,TAN,0.6794408111495192
2018-12-31,0.05,BL,-0.056190373101890706
2018-12-31,0.05,TAN,0.6794408111495192
2018-12-31,0.1,BL,-0.056112149897521675
2018-12-31,0.1,TAN,0.6794408111495192
2019-01-31,-0.1,BL,0.14049654141607357
2019-01-31,-0.1,TAN,0.7674176872881571
2019-01-31,-0.05,BL,0.13976478239600737
2019-01-31,-0.05,TAN,0.7674176872881571
2019-01-31,0.0,BL,0.1398420314163249
2019-01-31,0.0,TAN,0.7674176872881571
2019-01-31,0.05,BL,0.13994014602487617
2019-01-31,0.05,TAN,0.7674176872881571
2019-01-31,0.1,BL,0.13999660396277389
2019-01-31,0.1,TAN,0.7674176872881571
2019-02-28,-0.1,BL,0.0574340709725167
2019-02-28,-0.1,TAN,0.6773427789826514
2019-02-28,-0.05,BL,0.05645843773134375
2019-02-28,-0.05,TAN,0.6773427789826514
2019-02-28,0.0,BL,0.056561431626879176
2019-02-28,0.0,TAN,0.6773427789826514
2019-02-28,0.05,BL,0.05669224501068778
2019-02-28,0.05,TAN,0.6773427789826514
2019-02-28,0.1,BL,0.05676751875440753
2019-02-28,0.1,TAN,0.6773427789826514
2019-03-31,-0.1,BL,0.26492960226731677
2019-03-31,-0.1,TAN,0.8271892973805535
2019-03-31,-0.05,BL,0.2643290848796243
2019-03-31,-0.05,TAN,0.8271892973805535
2019-03-31,0.0,BL,0.26439247921930553
2019-03-31,0.0,TAN,0.8271892973805535
2019-03-31,0.05,BL,0.26447299688537595
2019-03-31,0.05,TAN,0.8271892973805535
2019-03-31,0.1,BL,0.2645193290417978
2019-03-31,0.1,TAN,0.8271892973805535
2019-04-30,-0.1,BL,0.29811623934398984
2019-04-30,-0.1,TAN,0.8294710802500316
2019-04-30,-0.05,BL,0.2975234067414739
2019-04-30,-0.05,TAN,0.8294710802500316
2019-04-30,0.0,BL,0.297585989827573
2019-04-30,0.0,TAN,0.8294710802500316
2019-04-30,0.05,BL,0.29766547711387537
2019-04-30,0.05,TAN,0.8294710802500316
2019-04-30,0.1,BL,0.2977112163604562
2019-04-30,0.1,TAN,0.8294710802500316
2019-05-31,-0.1,BL,0.44282774512447
2019-05-31,-0.1,TAN,0.9696565606439764
2019-05-31,-0.05,BL,0.44221905582523263
2019-05-31,-0.05,TAN,0.9696565606439764
2019-05-31,0.0,BL,0.44228331284257644
2019-05-31,0.0,TAN,0.9696565606439764
2019-05-31,0.05,BL,0.44236492620255746
2019-05-31,0.05,TAN,0.9696565606439764
2019-05-31,0.1,BL,0.4424118888524367
2019-05-31,0.1,TAN,0.9696565606439764
2019-06-30,-0.1,BL,0.35399415989204447
2019-06-30,-0.1,TAN,0.8958372270069846
2019-06-30,-0.05,BL,0.353404908686458
2019-06-30,-0.05,TAN,0.8958372270069846
2019-06-30,0.0,BL,0.3534671136980866
2019-06-30,0.0,TAN,0.8958372270069846
2019-06-30,0.05,BL,0.35354612078893083
2019-06-30,0.05,TAN,0.8958372270069846
2019-06-30,0.1,BL,0.35359158371737975
2019-06-30,0.1,TAN,0.8958372270069846
2019-07-31,-0.1,BL,0.2735126878806717
2019-07-31,-0.1,TAN,0.7943714583535461
2019-07-31,-0.05,BL,0.2729290663734211
2019-07-31,-0.05,TAN,0.7943714583535461
2019-07-31,0.0,BL,0.27299067707917946
2019-07-31,0.0,TAN,0.7943714583535461
2019-07-31,0.05,BL,0.2730689293373079
2019-07-31,0.05,TAN,0.7943714583535461
2019-07-31,0.1,BL,0.27311395791353116
2019-07-31,0.1,TAN,0.7943714583535461
2019-08-31,-0.1,BL,0.3082660903890774
2019-08-31,-0.1,TAN,0.8256526429518065
2019-08-31,-0.05,BL,0.307650363868591
2019-08-31,-0.05,TAN,0.8256526429518065
2019-08-31,0.0,BL,0.3077153637786526
2019-08-31,0.0,TAN,0.8256526429518065
2019-08-31,0.05,BL,0.3077979206927125
2019-08-31,0.05,TAN,0.8256526429518065
2019-08-31,0.1,BL,0.3078454262904603
2019-08-31,0.1,TAN,0.8256526429518065
2019-09-30,-0.1,BL,0.35783492828076074
2019-09-30,-0.1,TAN,0.8845941236298868
2019-09-30,-0.05,BL,0.35729996467262193
2019-09-30,-0.05,TAN,0.8845941236298868
2019-09-30,0.0,BL,0.3573564387487877
2019-09-30,0.0,TAN,0.8845941236298868
2019-09-30,0.05,BL,0.3574281669319223
2019-09-30,0.05,TAN,0.8845941236298868
2019-09-30,0.1,BL,0.35746944136973263
2019-09-30,0.1,TAN,0.8845941236298868
2019-10-31,-0.1,BL,0.409018800067487
2019-10-31,-0.1,TAN,0.9088714156683885
2019-10-31,-0.05,BL,0.4085670201911398
2019-10-31,-0.05,TAN,0.9088714156683885
2019-10-31,0.0,BL,0.408614712876696
2019-10-31,0.0,TAN,0.9088714156683885
2019-10-31,0.05,BL,0.4086752877442462
2019-10-31,0.05,TAN,0.9088714156683885
2019-10-31,0.1,BL,0.408710144246869
2019-10-31,0.1,TAN,0.9088714156683885
2019-11-30,-0.1,BL,0.4466394303363133
2019-11-30,-0.1,TAN,0.9783074934688908
2019-11-30,-0.05,BL,0.4460553575914375
2019-11-30,-0.05,TAN,0.9783074934688908
2019-11-30,0.0,BL,0.44611701593263803
2019-11-30,0.0,TAN,0.9783074934688908
2019-11-30,0.05,BL,0.44619532869292866
2019-11-30,0.05,TAN,0.9783074934688908
2019-11-30,0.1,BL,0.44624039208381794
2019-11-30,0.1,TAN,0.9783074934688908
2019-12-31,-0.1,BL,0.5626169273720383
2019-12-31,-0.1,TAN,1.0382992652422411
2019-12-31,-0.05,BL,0.5621130181188182
2019-12-31,-0.05,TAN,1.0382992652422411
2019-12-31,0.0,BL,0.5621662139046886
2019-12-31,0.0,TAN,1.0382992652422411
2019-12-31,0.05,BL,0.5622337783046745
2019-12-31,0.05,TAN,1.0382992652422411
2019-12-31,0.1,BL,0.5622726567831685
2019-12-31,0.1,TAN,1.0382992652422411
2020-01-31,-0.1,BL,0.5870079823295301
2020-01-31,-0.1,TAN,1.038241299054831
2020-01-31,-0.05,BL,0.5865249316418525
2020-01-31,-0.05,TAN,1.038241299054831
2020-01-31,0.0,BL,0.5865759254681855
2020-01-31,0.0,TAN,1.038241299054831
2020-01-31,0.05,BL,0.5866406931414663
2020-01-31,0.05,TAN,1.038241299054831
2020-01-31,0.1,BL,0.586677962303825
2020-01-31,0.1,TAN,1.038241299054831
2020-02-29,-0.1,BL,0.9253276513221478
2020-02-29,-0.1,TAN,1.0555353131821517
2020-02-29,-0.05,BL,0.9268203818045608
2020-02-29,-0.05,TAN,1.0555353131821517
2020-02-29,0.0,BL,0.9266627999173516
2020-02-29,0.0,TAN,1.0555353131821517
2020-02-29,0.05,BL,0.9264626538816507
2020-02-29,0.05,TAN,1.0555353131821517
2020-02-29,0.1,BL,0.9263474841569694
2020-02-29,0.1,TAN,1.0555353131821517
2020-03-31,-0.1,BL,0.6159008374926989
2020-03-31,-0.1,TAN,0.9638009137924968
2020-03-31,-0.05,BL,0.6158252163717266
2020-03-31,-0.05,TAN,0.9638009137924968
2020-03-31,0.0,BL,0.6158331994062368
2020-03-31,0.0,TAN,0.9638009137924968
2020-03-31,0.05,BL,0.615843338723251
2020-03-31,0.05,TAN,0.9638009137924968
2020-03-31,0.1,BL,0.6158491731748047
2020-03-31,0.1,TAN,0.9638009137924968
2020-04-30,-0.1,BL,0.6312327223077502
2020-04-30,-0.1,TAN,0.9135423465870851
2020-04-30,-0.05,BL,0.6312751543273153
2020-04-30,-0.05,TAN,0.9135423465870851
2020-04-30,0.0,BL,0.6312706749401787
2020-04-30,0.0,TAN,0.9135423465870851
2020-04-30,0.05,BL,0.6312649856341702
2020-04-30,0.05,TAN,0.9135423465870851
2020-04-30,0.1,BL,0.6312617118455871
2020-04-30,0.1,TAN,0.9135423465870851
2020-05-31,-0.1,BL,0.2425314113215446
2020-05-31,-0.1,TAN,0.5824322797955102
2020-05-31,-0.05,BL,0.24321445750443751
2020-05-31,-0.05,TAN,0.5824322797955102
2020-05-31,0.0,BL,0.24314235091331507
2020-05-31,0.0,TAN,0.5824322797955102
2020-05-31,0.05,BL,0.24305076774587978
2020-05-31,0.05,TAN,0.5824322797955102
2020-05-31,0.1,BL,0.24299806818507141
2020-05-31,0.1,TAN,0.5824322797955102
2020-06-30,-0.1,BL,0.3797605473997104
2020-06-30,-0.1,TAN,0.686923627930144
2020-06-30,-0.05,BL,0.3803311872720522
2020-06-30,-0.05,TAN,0.686923627930144
2020-06-30,0.0,BL,0.38027094698818314
2020-06-30,0.0,TAN,0.686923627930144
2020-06-30,0.05,BL,0.3801944353140345
2020-06-30,0.05,TAN,0.686923627930144
2020-06-30,0.1,BL,0.38015040831936664
2020-06-30,0.1,TAN,0.686923627930144
2020-07-31,-0.1,BL,0.4298392145441463
2020-07-31,-0.1,TAN,0.7255580846654779
2020-07-31,-0.05,BL,0.43030039678791965
2020-07-31,-0.05,TAN,0.7255580846654779
2020-07-31,0.0,BL,0.4302517115301471
2020-07-31,0.0,TAN,0.7255580846654779
2020-07-31,0.05,BL,0.4301898759885578
2020-07-31,0.05,TAN,0.7255580846654779
2020-07-31,0.1,BL,0.4301542940582167
2020-07-31,0.1,TAN,0.7255580846654779
2020-08-31,-0.1,BL,0.424702672461814
2020-08-31,-0.1,TAN,0.5942965506165423
2020-08-31,-0.05,BL,0.4257332624012908
2020-08-31,-0.05,TAN,0.5942965506165423
2020-08-31,0.0,BL,0.4256244669358567
2020-08-31,0.0,TAN,0.5942965506165423
2020-08-31,0.05,BL,0.4254862849309673
2020-08-31,0.05,TAN,0.5942965506165423
